## Filter transmission curves for all possible WFC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
## 2nd block of data has been removed
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F435W
# 4	EEERR_F435W
# 5	EE_F475W
# 6	EEERR_F475W
# 7	EE_F502N
# 8	EEERR_F502N
# 9	EE_F550M
# 10	EEERR_F550M
# 11	EE_F555W
# 12	EEERR_F555W
# 13	EE_F606W
# 14	EEERR_F606W
# 15	EE_F625W
# 16	EEERR_F625W
# 17	EE_F658N
# 18	EEERR_F658N
# 19	EE_F660N
# 20	EEERR_F660N
# 21	EE_F775W
# 22	EEERR_F775W
# 23	EE_F814W
# 24	EEERR_F814W
# 25	EE_F850LP
# 26	EEERR_F850LP
# 27	EE_F892N
# 28	EEERR_F892N
##
##                      F435W	      F475W	       F502N	       F550M 	       F555W	       F606W	      F625W	       F658N           F660N	      F775W	        F814W	      F850LP         F892N
##   pix   arcsec    ee      stdv   ee      stdv    ee      stdv     ee    stdv     ee     stdv      ee     stdv    ee      stdv    ee      stdv    ee      stdv    ee      stdv    ee      stdv     ee    stdv     ee      stdv
  43.000   2.150  98.197   0.218  99.217   0.283  98.694   0.196  99.148   0.022  98.321   0.208  98.559   0.160  98.003   0.067  98.196   0.149  98.577   0.242  97.901   0.152  97.795   0.064  97.680   0.143  97.396   0.143
  44.000   2.200  98.260   0.214  99.293   0.282  98.768   0.200  99.237   0.005  98.423   0.211  98.640   0.161  98.102   0.068  98.307   0.147  98.699   0.226  97.974   0.159  97.961   0.115  97.753   0.129  97.493   0.142
  45.000   2.250  98.334   0.213  99.371   0.284  98.832   0.200  99.331   0.001  98.512   0.218  98.715   0.151  98.203   0.067  98.399   0.145  98.761   0.197  98.048   0.158  98.041   0.122  97.839   0.116  97.567   0.138
  46.000   2.300  98.404   0.220  99.430   0.274  98.867   0.197  99.384   0.018  98.588   0.225  98.791   0.140  98.302   0.061  98.474   0.141  98.815   0.167  98.109   0.151  98.117   0.124  97.921   0.108  97.629   0.132
  47.000   2.350  98.472   0.218  99.492   0.260  98.894   0.198  99.455   0.041  98.663   0.222  98.866   0.132  98.379   0.053  98.547   0.143  98.883   0.138  98.178   0.151  98.175   0.127  97.990   0.107  97.694   0.124
  48.000   2.400  98.525   0.217  99.549   0.249  98.931   0.205  99.507   0.055  98.730   0.219  98.928   0.124  98.443   0.050  98.632   0.144  98.961   0.125  98.264   0.151  98.122   0.073  98.038   0.113  97.769   0.109
  49.000   2.450  98.574   0.215  99.608   0.241  98.989   0.213  99.590   0.014  98.797   0.217  99.009   0.116  98.526   0.049  98.716   0.145  99.049   0.132  98.361   0.146  98.194   0.073  98.100   0.119  97.836   0.103
  50.000   2.500  98.632   0.217  99.657   0.245  99.079   0.215  99.690   0.015  98.857   0.214  99.089   0.119  98.600   0.036  98.813   0.147  99.140   0.159  98.461   0.152  98.200   0.018  98.188   0.116  97.897   0.102
  51.000   2.550  98.882   0.098  99.703   0.241  99.149   0.225  99.743   0.004  98.914   0.214  99.148   0.121  98.672   0.033  98.919   0.155  99.203   0.168  98.551   0.154  98.378   0.072  98.274   0.120  97.959   0.109
  52.000   2.600  98.943   0.105  99.733   0.237  99.203   0.222  99.759   0.041  98.962   0.217  99.194   0.126  98.730   0.028  98.992   0.154  99.258   0.154  98.613   0.154  98.538   0.124  98.329   0.132  98.022   0.113
